tsb.adenovirus.ir,pbs.adenovirus.ir,fbs.adenovirus.ir,astm.adenovirus.ir
1.44E-05,4.88E-05,7.20E-05,1.64E-05
4.19E-07,4.53E-05,5.92E-05,0.000267429
0.000141754,3.54E-05,1.26E-05,0.00090833
6.80E-05,1.76E-05,3.76E-05,8.98E-05
6.54E-06,4.84E-05,5.50E-06,0.000559082
0.000197621,5.09E-05,0.000374325,0.000251855
0.000303365,1.32E-05,0.000212342,0.00190715
0.000427856,0.000216362,5.80E-05,2.69E-05
0.000101425,0.000123151,1.94E-05,6.50E-05
0.000302737,5.94E-05,6.09E-05,0.000986742
0.000757157,0.000202848,4.08E-05,8.81E-05
5.53E-07,1.12E-05,2.65E-06,0.000961258
2.21E-05,0.000124826,7.68E-05,9.44E-05
3.06E-05,5.56E-05,0.000198961,8.81E-05
9.80E-05,2.77E-05,3.27E-06,0.000292422
4.63E-05,7.20E-05,0.00011233,5.40E-05
7.99E-05,2.69E-05,8.32E-05,3.17E-05
0.000682662,7.15E-05,9.51E-06,0.000354659
0.000105411,2.31E-06,4.69E-05,0.000393869
0.000129424,0.000126749,0.000163098,0.000199149
0.000123967,3.05E-05,0.000151925,0.00025126
0.000248371,2.75E-05,1.75E-05,0.001748853
0.000267298,0.000339444,7.73E-06,4.45E-05
0.000179395,4.21E-05,0.000236628,0.000199384
6.20E-05,2.66E-05,8.03E-05,0.000237057
2.66E-05,5.11E-06,3.13E-05,0.000991957
9.28E-06,0.000194919,5.82E-05,0.000254104
1.70E-05,2.22E-05,1.48E-05,0.000529568
0.000204951,4.28E-05,2.10E-05,0.000351324
9.21E-05,0.000249002,1.55E-05,0.001264164
0.002130235,0.00033804,8.81E-07,0.000318607
0.000176518,3.68E-05,3.33E-05,8.44E-05
0.000155167,2.90E-05,1.81E-05,0.000285332
0.000123682,8.16E-05,0.00053255,6.98E-05
9.43E-05,3.45E-05,0.00029801,0.000732992
6.69E-06,0.000426839,0.000129711,0.000658753
0.000196278,0.000146929,4.28E-05,2.96E-05
3.22E-05,4.32E-05,4.77E-05,5.45E-05
6.38E-05,0.000101573,0.000197002,0.000357207
7.14E-05,0.000110053,0.000174585,0.001544518
0.000402837,2.64E-05,0.000132118,0.000693247
4.21E-05,0.000107429,3.09E-06,0.000181362
0.000106515,9.04E-05,2.72E-05,0.000174577
1.38E-05,0.000503819,1.62E-05,0.000895837
0.0002343,0.000131046,2.95E-05,0.000309047
1.21E-05,0.000226447,3.77E-06,0.000990358
0.00011329,0.000153796,2.96E-05,0.000309226
0.000205003,1.06E-05,0.000115705,9.96E-06
0.000113775,0.000363957,0.000163765,0.001029007
0.00019676,7.09E-05,3.25E-05,0.000288111
2.18E-05,6.97E-05,0.000133505,0.00024574
0.001528908,1.80E-05,7.08E-06,0.000193148
0.00054084,0.000211843,2.09E-05,7.30E-05
7.10E-06,1.56E-05,7.24E-05,0.000260504
2.07E-05,7.52E-05,1.97E-05,6.56E-05
8.99E-06,1.28E-05,3.16E-05,0.002280572
3.04E-05,6.90E-05,0.00010501,0.000216685
0.000180511,2.39E-05,1.92E-05,0.000105039
5.98E-06,9.73E-05,0.000156058,0.000810428
0.000647926,1.59E-05,0.000273868,1.15E-05
7.09E-06,1.66E-05,9.81E-05,0.000110326
0.000855469,2.90E-05,0.000105502,0.000450566
3.06E-05,3.87E-05,0.000473395,0.000138299
4.81E-05,1.96E-05,0.000232451,6.56E-05
3.93E-05,0.000108154,2.41E-05,9.92E-05
0.000164993,1.04E-05,1.24E-06,0.000239392
0.000124745,0.000460658,1.02E-05,7.96E-05
5.69E-05,0.000186436,3.36E-05,0.000499783
0.000973337,0.000142394,0.000126978,0.000390858
0.000234177,1.81E-05,0.000284104,5.41E-05
0.000123376,5.58E-05,0.000229102,0.000910917
5.15E-05,0.000183351,0.000165296,0.000291302
0.00028731,2.02E-05,0.00107126,1.38E-07
7.63E-05,6.57E-05,1.06E-05,0.000134198
0.000552186,0.000393036,9.04E-05,0.000210095
0.000150983,5.63E-05,0.000161067,0.000115293
5.74E-05,3.90E-05,2.05E-05,0.000899273
7.21E-06,7.57E-05,7.71E-06,0.000742209
6.56E-05,0.00025372,3.59E-05,0.000128038
