pbs.norovirus.ir,tsb.norovirus.ir,fbs.norovirus.ir,astm.norovirus.ir
4.80E-05,0.001241114,0.000892975,0.006604202
0.000840412,0.002026847,0.000241758,0.000105978
0.00053838,0.000381329,6.87E-05,0.000240551
0.0002614,0.001231913,0.000221757,0.003023929
0.000698117,0.003084507,0.000138602,0.000325308
3.69E-05,2.04E-06,1.17E-05,0.003528287
0.000453882,8.60E-05,0.000253764,0.000298932
0.000230555,0.000115503,0.000646125,0.000288944
0.000117754,0.000417191,1.31E-05,0.001150754
0.000257723,0.000165657,0.000429135,0.000173798
0.000116262,0.0002664,0.000311989,0.000131789
0.000257189,0.002319196,4.29E-05,0.001384393
7.63E-06,0.000388667,0.000179651,0.001729926
0.000482061,0.000420147,0.000502322,0.000714889
0.000117935,0.000468068,0.00063973,0.000755157
0.000119398,0.001020044,7.08E-05,0.006496449
0.001240469,0.000924827,2.58E-05,0.00015058
0.000190137,0.000668848,0.00088064,0.000705907
9.48E-05,0.000214335,0.00028653,0.000958097
1.43E-05,0.000103353,0.000134939,0.004348657
0.000751532,3.99E-05,0.000218866,0.001008052
0.000104808,7.40E-05,5.44E-05,0.001776295
0.000171939,0.000767532,7.86E-05,0.001071485
0.001012948,0.000285551,5.55E-05,0.004642715
0.001263077,0.007986354,3.88E-06,0.001374322
0.000144812,0.000746985,0.000130253,0.000264178
0.00012435,0.000583887,5.44E-05,0.001159621
0.000260449,0.000472593,0.001944689,0.000226548
0.000114967,0.00037569,0.001019947,0.002771303
0.001570362,2.77E-05,0.000412878,0.002268347
0.000664015,0.000802612,0.000138873,0.000108978
0.000170629,0.000147434,0.000187426,0.000183367
0.000351048,0.000278041,0.000679155,0.001572025
0.000460799,0.000241135,0.000648152,0.004908946
9.81E-05,0.001466379,0.000438827,0.002383959
0.000395357,0.000170186,1.18E-05,0.000742362
0.000315785,0.000451755,0.000106155,0.000625456
0.001833065,6.51E-05,5.74E-05,0.003409723
0.000525028,0.000848385,0.000103528,0.001230402
0.000790391,3.68E-05,1.47E-05,0.002860922
0.000624881,0.000405551,0.000115056,0.001238463
4.26E-05,0.000802477,0.000507638,4.47E-05
0.001350276,0.000375114,0.000652849,0.004059505
0.000273194,0.000718808,0.000125947,0.001183835
0.000264907,8.61E-05,0.000412809,0.00077247
7.68E-05,0.005712515,2.92E-05,0.000806715
0.000762397,0.002232931,6.67E-05,0.000276558
5.97E-05,2.38E-05,0.000287533,0.001051597
0.00032064,7.35E-05,7.01E-05,0.000275831
4.27E-05,3.40E-05,0.00011481,0.007578542
0.000250111,0.000109629,0.000414444,0.000788799
9.38E-05,0.000675459,7.98E-05,0.000363868
0.000406448,2.59E-05,0.000686461,0.002784909
5.99E-05,0.00239048,0.001119308,4.26E-05
6.71E-05,3.03E-05,0.000375023,0.000461091
0.000105786,0.003278621,0.000357521,0.001324672
0.000135832,0.00013674,0.001594229,0.000553914
6.27E-05,0.000165407,0.000809348,0.000288572
0.000429591,0.000144265,8.99E-05,0.000373262
3.69E-05,0.000575771,4.92E-06,0.000820832
0.001861031,0.000465241,3.45E-05,0.000305246
0.000820465,0.000235735,0.000120645,0.002111962
0.000474233,0.00353356,0.000438268,0.001334286
6.76E-05,0.000783857,0.001208594,0.00024697
0.000224299,0.000441567,0.000837011,0.003111718
0.000768106,0.000174112,0.000628034,0.001011211
8.56E-05,0.001219419,0.00373916,5.62E-07
0.00025665,0.000262423,3.90E-05,0.000582222
0.001284236,0.002272247,0.000333587,0.000751275
0.000248464,0.000574666,0.000504387,0.000438879
0.000130628,0.000219149,7.29E-05,0.003452864
0.000286141,2.99E-05,2.92E-05,0.002879859
0.000989062,0.000255781,0.000133056,0.000451564
0.000114029,0.001046845,0.000119626,0.00027815
0.0001914,0.000920543,0.000459075,0.000186985
0.000562883,0.003157814,9.11E-05,0.000522243
0.00036199,0.000159999,7.26E-05,8.20E-05
0.000618804,0.000135707,0.001093458,0.000107989
0.000610315,0.000140878,0.000116035,0.002759328
0.001252861,4.58E-06,6.57E-05,0.001782502
0.001066814,2.53E-05,0.000641931,0.001395504
7.99E-05,0.014712773,9.69E-05,0.001689271
0.000479694,0.000205036,8.41E-05,0.000660034
0.000315222,0.000154396,0.000177586,0.000533485
0.00102676,4.32E-05,9.25E-05,0.000783658
0.001937582,7.93E-05,0.000786346,0.001594071
0.000263554,0.000141176,0.000114807,0.008603216
0.001339381,0.00079147,0.000180979,0.00358387
0.000191778,2.26E-05,2.51E-05,0.002549155
0.000318821,0.000650599,0.000207835,0.001688418
0.000182523,0.00034538,0.001439075,0.000352589
0.000101515,0.003445076,0.000162051,0.001599383
0.000633714,0.000734734,0.000298121,0.000495182
0.000375901,0.000754799,0.00013954,2.60E-05
0.000396922,0.000221162,3.91E-05,0.00115661
0.000572663,0.000208936,0.000274996,0.001131061
1.61E-05,4.41E-05,0.000618365,0.001875604
0.000584099,0.000246414,8.76E-05,0.001714693
0.000147739,0.000883115,0.000785928,0.003281634
0.00115883,0.000649361,0.00043818,0.000203505
0.001071504,0.001334037,0.00015143,0.000451315
0.001350579,0.00024191,0.000362012,0.000333073
0.000456164,0.000442559,3.22E-05,0.000104322
0.000145782,8.78E-05,0.000262709,0.000188325
0.000939362,0.000751534,2.59E-05,0.000519259
0.00095857,3.15E-05,0.000473644,0.00011987
0.000127623,0.000870931,0.000372548,0.000637073
3.34E-05,0.000142498,9.15E-05,0.001504406
3.87E-05,4.57E-05,0.000103605,0.000536349
0.011162584,0.00013163,0.001494895,0.00017462
4.72E-05,8.91E-05,0.000896773,1.79E-05
0.001771462,0.000924893,0.000198122,0.002961984
3.46E-05,0.000287828,0.000157076,0.00162749
0.000869238,0.001332503,0.000259074,0.002758371
0.000355893,0.000121532,0.000885552,0.000698153
0.000858569,0.000135586,4.17E-05,0.006523582
0.000430219,0.000128551,1.25E-05,0.000114422
0.001039814,0.000483265,0.000219097,1.85E-05
0.000786474,0.000158008,0.000510678,4.26E-05
7.16E-05,4.44E-06,0.000172924,0.002223108
0.000600961,6.82E-07,2.10E-05,0.000236814
0.000117072,0.000421796,2.27E-05,0.00028298
0.000248486,0.000979095,6.85E-05,7.05E-05
6.72E-05,0.000697307,2.82E-05,0.000765983
0.00088074,0.000160062,0.00110634,0.000289756
0.0004123,8.21E-05,0.000237093,0.000514617
0.00069392,9.62E-05,0.000135856,0.000119362
0.000168636,0.000274682,0.000295427,0.00036787
5.81E-05,0.00024517,0.0006188,0.000835301
0.000302156,0.000479447,0.000257108,0.000925238
0.000951972,0.000723914,1.43E-05,0.000384194
0.000230951,0.00385187,0.002100563,0.00090667
0.001939438,0.000156818,7.74E-05,0.000138312
0.000248449,8.78E-05,0.00187425,0.000745135
0.000262572,0.000465708,8.03E-05,0.002362579
0.000426301,9.84E-05,0.000148893,0.001062367
0.000109796,0.000401223,6.81E-05,0.000471951
0.000266801,0.000398499,0.00016521,0.001870097
