"Variable","N","Mean","Std. Dev.","Min","Pctl. 25","Pctl. 50","Pctl. 75","Max"
"norovirus.ts","10000","78.8115383086113","58.2799347796715","24.1894427892129","40.2396271819188","56.3875882860261","93.6496612298593","376.710255388575"
"norovirus.ts.gc","10000","31233.2032345942","3196.25163214336","23434.2517280153","28941.7620579575","31232.4895001469","33511.1283069825","38977.8666882982"
"ts2h.c.norovirus","10000","0.089227915201235","0.108706833895498","2.895988995e-06","0.025578450816001","0.055667204721457","0.109134922201806","1.24319312353668"
"ts2h.norovirus","10000","0.501307288892271","0.747750787548467","2.8301310595e-05","0.095492394677981","0.25077541249129","0.596343167251674","11.5546799573529"
"ts.norovirus.ir","10000","0.001572421882336","0.002256961863771","9.1124919e-08","0.000306967040048","0.000804008487035","0.001900795422797","0.031304228587163"
