"Variable","N","Mean","Std. Dev.","Min","Pctl. 25","Pctl. 50","Pctl. 75","Max"
"norovirus.ts","10000","81.1442836052278","60.0563751502782","23.8725042189177","40.4906686843397","57.3396537795058","98.8035225208278","366.983215960406"
"norovirus.ts.gc","10000","31206.7103742086","3174.50358690589","23500.889097387","28908.6049346539","31193.6201776263","33484.6537200435","38923.176881403"
"ts2h.c.norovirus","10000","0.031371866888503","0.037432269531598","7.90590073e-07","0.00921755023519","0.019356830103782","0.038148513448682","0.43207555523148"
"ts2h.norovirus","10000","0.142432605948337","0.214868772099127","8.166262736e-06","0.026108185847081","0.068341250216879","0.170068501046632","3.23976319773846"
"ts.norovirus.ir","10000","0.000455023522133","0.000678452687645","2.6293845e-08","8.4026022131e-05","0.000219789511413","0.000546003303717","0.009891585910313"
