"Variable","N","Mean","Std. Dev.","Min","Pctl. 25","Pctl. 50","Pctl. 75","Max"
"pbs.norovirus.ir","10000","0.00056343700686","0.00076152174009","2.1e-08","0.0001297905","0.0003129015","0.00068440625","0.011462006"
"tsb.norovirus.ir","10000","0.000660128618133","0.00111973016532","7.33e-09","9.53e-05","0.0002835785","0.00074097175","0.017266425"
"fbs.norovirus.ir","10000","0.00045502350692","0.000678452697571","2.63e-08","8.4e-05","0.0002197895","0.00054600325","0.009891586"
"astm.norovirus.ir","10000","0.00157242194521","0.00225696182087","9.11e-08","0.000306967","0.0008040085","0.00190079575","0.031304229"
