"Variable","N","Mean","Std. Dev.","Min","Pctl. 25","Pctl. 50","Pctl. 75","Max"
"adenovirus.ts","10000","0.112845468816996","0.081515833571481","0.041242234607816","0.056667533004738","0.080163388885244","0.137445907489758","0.448660491103367"
"adenovirus.ts.gc","10000","44.0036215552235","1.01040689066869","39.6855865150874","43.3227533104145","44.0111141988158","44.6947127460388","47.8484762972549"
"ts2h.c.adenovirus","10000","6.8975732146e-05","7.7611805485e-05","2.7101583e-08","2.2344058445e-05","4.4543939235e-05","8.467280785e-05","0.000970425733191"
"ts2h.adenovirus","10000","0.000292012594912","0.000499909025869","3.198014e-09","4.2309124522e-05","0.000126097622888","0.000330355693598","0.007596876411699"
"ts.adenovirus.ir","10000","0.000177189932651","0.000303170719011","1.941195e-09","2.5681308814e-05","7.6538327885e-05","0.000200505802038","0.004600688243429"
