"Variable","N","Mean","Std. Dev.","Min","Pctl. 25","Pctl. 50","Pctl. 75","Max"
"adenovirus.ts","10000","0.112701272996723","0.081863825797323","0.041520465363533","0.057003301087755","0.080269838897236","0.135342426159463","0.457789629593"
"adenovirus.ts.gc","10000","44.0101909078475","1.00309709446398","40.1798023039291","43.3274155119788","44.0104172958062","44.6818177950887","47.6925804501028"
"ts2h.c.adenovirus","10000","0.001852315955916","0.001607589751087","0.00019563258269","0.000857329901631","0.001311977486644","0.002220106084426","0.015213583381355"
"ts2h.adenovirus","10000","0.00831596465126","0.009817539866644","0.000148094595387","0.00247338240255","0.005239245588106","0.01000688088635","0.105329070532037"
"ts.adenovirus.ir","10000","0.005017518045087","0.005873512982784","8.9889379108e-05","0.001500216666465","0.003175170522125","0.006055766181829","0.061933789718467"
