"Variable","N","Mean","Std. Dev.","Min","Pctl. 25","Pctl. 50","Pctl. 75","Max"
"norovirus.ts","10000","79.5041371416253","58.7578719181132","24.1494879974174","40.0635279625223","56.5907873111673","95.590355118749","374.296805567306"
"norovirus.ts.gc","10000","31194.7161338084","3191.4784369829","23457.8063513684","28893.0085448583","31177.6619396841","33487.2320645927","38879.5903920553"
"ts2h.c.norovirus","10000","0.700588768957498","0.638900609321186","0.057877777330519","0.304252628486105","0.488385454523859","0.856907940636295","6.4665484712186"
"ts2h.norovirus","10000","3.26194724179777","4.19437171482326","0.001732174570505","0.861790303887958","1.92912938489983","3.94475524775402","60.6895781243554"
"ts.norovirus.ir","10000","0.00932483400326","0.010243884333345","5.577115256e-06","0.002734687110328","0.006014855812596","0.011912137576154","0.104140512346637"
