Inoculum,TE
PBS,0.790630091
PBS,1.154669158
PBS,1.15362963
PBS,0.162601626
PBS,2.566340036
PBS,0.750516741
ASTM Soil Load,0.123863938
ASTM Soil Load,9.967238955
ASTM Soil Load,0.524871064
ASTM Soil Load,1.624672893
ASTM Soil Load,2.875267297
TSB,0.741048503
TSB,2.987074251
TSB,1.416310571
TSB,0.528977484
TSB,2.363283241
TSB,0.189126711
TSB,4.96459845
TSB,2.213422561
TSB,4.47605018
TSB,1.491066803
FBS,0.753342568
FBS,1.487493395
FBS,3.478711846
FBS,0.609065257
FBS,0.316616434
FBS,0.177517717
