"Variable","N","Mean","Std. Dev.","Min","Pctl. 25","Pctl. 50","Pctl. 75","Max"
"norovirus.ts","10000","80.4627356023567","59.7741760078255","24.1510723294336","40.1601708369297","56.8086858740427","97.4181373669928","374.685883590493"
"norovirus.ts.gc","10000","31183.9680090789","3172.17589507879","23489.164810232","28902.6027715048","31121.7703120097","33519.6184854198","38946.4337720236"
"ts2h.c.norovirus","10000","0.024684703058817","0.027906332407974","8.04973232e-07","0.008234335974317","0.01592892399704","0.030455310469163","0.350512865761478"
"ts2h.norovirus","10000","0.176488536281633","0.241834255282194","6.52332316e-06","0.040337638018549","0.097341530781931","0.213335101182156","3.78637310796879"
"ts.norovirus.ir","10000","0.00056343704211","0.000761521715689","2.1003887e-08","0.000129790245637","0.000312901354935","0.000684406605672","0.011462006015787"
