"Variable","N","Mean","Std. Dev.","Min","Pctl. 25","Pctl. 50","Pctl. 75","Max"
"adenovirus.ts","10000","0.114316341101115","0.083334148519219","0.041511324781136","0.057085498652398","0.080544644431804","0.137831645551453","0.44942070862332"
"adenovirus.ts.gc","10000","44.0089380559651","1.00179960374156","40.168857851621","43.3210126509778","44.0075915827321","44.6816070525489","47.7782748051231"
"ts2h.c.adenovirus","10000","4.4150033242e-05","5.2134719054e-05","1.10719e-09","1.3152608351e-05","2.7510953124e-05","5.4507368305e-05","0.00062207751761"
"ts2h.adenovirus","10000","0.000200374539731","0.000298774311529","1.1436522e-08","3.7389644508e-05","9.7750432006e-05","0.00023868955441","0.004195287099215"
"ts.adenovirus.ir","10000","0.000121603511967","0.000181267585777","6.941969e-09","2.2695256675e-05","5.933275197e-05","0.000144874064266","0.002543299588673"
