"Variable","N","Mean","Std. Dev.","Min","Pctl. 25","Pctl. 50","Pctl. 75","Max"
"adenovirus.ts","10000","0.113428933738576","0.083058941930159","0.041297351431768","0.056858549228459","0.080392130461279","0.136593331787436","0.456887864973647"
"adenovirus.ts.gc","10000","43.9812110504731","0.997849573338807","40.0991602462345","43.3198745467262","43.9590084743164","44.6547693553513","47.9110205642685"
"ts2h.c.adenovirus","10000","3.4786576798e-05","3.9004928732e-05","1.171156e-09","1.1642342889e-05","2.2708972865e-05","4.2507812096e-05","0.000431505694486"
"ts2h.adenovirus","10000","0.000248857127569","0.000338852782824","9.49079e-09","5.7806013402e-05","0.000137464113658","0.000300287106423","0.004742801279449"
"ts.adenovirus.ir","10000","0.000151023726129","0.000205569609217","5.76091e-09","3.5087634549e-05","8.3437235911e-05","0.000182257662652","0.002874740374324"
